Probe,r11_frec,r11_ener,r12_frec,r12_ener,r13_frec,r13_ener,r22_frec,r22_ener,r23_frec,r23_ener,r33_frec,r33_ener
0,0.0000,8.5911e+06,0.7166,3.7562e+06,0.0700,2.0346e+05,0.7166,6.1640e+06,0.7300,1.3229e+03,0.0700,1.1666e+06
1,0.7166,3.4125e+06,0.7166,4.5864e+06,0.0700,2.8657e+05,0.7166,6.1642e+06,0.7300,1.3671e+03,0.0700,1.1675e+06
2,0.7166,3.5211e+06,0.7166,4.6589e+06,0.0700,2.8169e+05,0.7166,6.1643e+06,0.7300,1.4159e+03,0.0700,1.1685e+06
3,0.0700,6.8242e+06,0.7166,5.2980e+05,0.0700,2.7253e+06,0.7166,6.4857e+06,0.7166,2.2212e+04,0.0200,1.4235e+06
4,0.0700,7.0670e+06,0.7166,5.1641e+05,0.0700,2.8561e+06,0.7166,6.4494e+06,0.7166,2.3040e+04,0.0200,1.3686e+06
5,0.0700,7.2420e+06,0.7166,5.0282e+05,0.0700,2.9823e+06,0.7166,6.3939e+06,0.7166,2.3175e+04,0.0200,1.3045e+06
6,0.0700,3.7156e+05,0.7166,9.8007e+05,0.0700,2.3554e+05,0.7166,3.1682e+06,0.7166,1.0197e+05,0.0800,2.0086e+05
7,0.0700,3.6815e+05,0.7166,1.0626e+06,0.0700,2.9509e+05,0.7166,3.3658e+06,0.7166,1.7086e+05,0.0800,2.3757e+05
8,0.0700,3.7256e+05,0.7166,9.9735e+05,0.0700,3.9677e+05,0.7166,3.2185e+06,0.7166,2.3027e+05,0.0700,4.2256e+05
9,0.2100,1.0669e+05,0.7166,1.0723e+05,0.1133,4.8955e+04,0.7166,3.1486e+06,0.6333,3.3244e+04,0.1133,5.3903e+04
10,0.2067,1.1925e+05,0.7166,1.4936e+05,0.1133,5.3093e+04,0.7166,3.1172e+06,0.7166,2.3777e+04,0.1133,5.7455e+04
11,0.1167,1.2862e+05,0.7166,1.8255e+05,0.1133,6.2669e+04,0.7166,2.9764e+06,0.7166,2.5430e+04,0.1133,6.3395e+04
12,0.1133,2.9340e+05,0.7166,5.3351e+04,0.0700,2.6881e+05,0.7166,3.7542e+06,0.7133,2.8324e+04,0.0700,3.4578e+05
13,0.1133,3.7738e+05,0.7166,4.7438e+04,0.0700,2.8067e+05,0.7166,3.6012e+06,0.7166,2.1722e+04,0.0700,3.0939e+05
14,0.1133,4.9302e+05,0.7166,5.3461e+04,0.0700,3.1343e+05,0.7166,3.4526e+06,0.7166,1.2015e+04,0.0700,2.5052e+05
15,0.0700,4.2815e+05,0.0700,4.7267e+04,0.0733,1.1919e+05,0.7200,2.1269e+05,0.0733,2.6528e+04,0.1333,1.5716e+05
16,0.0700,5.4314e+05,0.6333,4.0613e+04,0.0733,9.2846e+04,0.6333,2.3848e+05,0.4433,4.0287e+04,0.0200,1.2937e+05
17,0.0700,3.1154e+05,0.5233,2.5129e+04,0.0700,1.1596e+05,0.6333,2.4696e+05,0.4433,2.2921e+04,0.0733,1.2493e+05
18,0.0700,4.2815e+05,0.0700,4.7267e+04,0.0733,1.1919e+05,0.7200,2.1269e+05,0.0733,2.6528e+04,0.1333,1.5716e+05
19,0.0700,5.4314e+05,0.6333,4.0613e+04,0.0733,9.2846e+04,0.6333,2.3848e+05,0.4433,4.0287e+04,0.0200,1.2937e+05
20,0.0700,3.1154e+05,0.5233,2.5129e+04,0.0700,1.1596e+05,0.6333,2.4696e+05,0.4433,2.2921e+04,0.0733,1.2493e+05
