Probe,r11_frec,r11_ener,r12_frec,r12_ener,r13_frec,r13_ener,r22_frec,r22_ener,r23_frec,r23_ener,r33_frec,r33_ener
0,0.6800,9.1860e+06,0.6800,1.3271e+07,0.0533,8.9797e+05,0.6800,1.9172e+07,0.6800,3.6025e+03,0.0533,3.0364e+06
1,0.0000,6.7942e+06,0.6800,1.1315e+07,0.0533,7.3597e+05,0.6800,1.9162e+07,0.6800,3.3379e+03,0.0533,3.0370e+06
2,0.6800,7.4235e+06,0.6800,1.1921e+07,0.0533,9.0686e+05,0.6800,1.9142e+07,0.6800,1.6686e+03,0.0533,3.0592e+06
3,0.0533,1.4171e+07,0.6800,1.1858e+06,0.0533,5.9200e+06,0.6800,1.8674e+07,0.6800,1.4181e+05,0.0533,2.4731e+06
4,0.0533,1.4597e+07,0.6800,1.1982e+06,0.0533,6.3745e+06,0.6800,1.8300e+07,0.6800,1.5245e+05,0.0533,2.7837e+06
5,0.0533,1.4948e+07,0.6800,1.2043e+06,0.0533,6.7946e+06,0.6800,1.7906e+07,0.6800,1.6195e+05,0.0533,3.0884e+06
6,0.0533,2.5822e+06,0.6800,2.3364e+06,0.0533,1.2475e+06,0.6800,1.2200e+07,0.6800,6.4534e+05,0.0533,6.0271e+05
7,0.0533,2.0860e+06,0.6800,2.3289e+06,0.0533,1.5814e+06,0.6800,1.2009e+07,0.6800,6.3430e+05,0.0533,1.1989e+06
8,0.0533,1.8502e+06,0.6800,2.2659e+06,0.0533,1.6637e+06,0.6800,1.1693e+07,0.6800,3.3376e+05,0.0533,1.4959e+06
9,0.0900,2.0744e+05,0.6800,8.3049e+05,0.0500,2.7290e+04,0.6800,1.4863e+07,0.6833,2.9018e+05,0.0500,4.3837e+04
10,0.0900,2.6194e+05,0.6800,6.0528e+05,0.0500,2.9241e+04,0.6800,1.4895e+07,0.6800,3.5677e+05,0.0500,7.1556e+04
11,0.0933,2.9356e+05,0.6800,5.8529e+05,0.0533,3.1835e+04,0.6800,1.5009e+07,0.6800,2.7619e+05,0.0500,9.4426e+04
12,0.0533,1.8204e+06,0.6800,7.7740e+05,0.6800,7.9256e+04,0.6800,1.0630e+07,0.6800,1.0837e+06,0.6800,1.1049e+05
13,0.0533,3.2711e+06,0.6800,5.0912e+05,0.0533,9.7443e+04,0.6800,1.1189e+07,0.6800,1.0239e+06,0.6800,9.3700e+04
14,0.0533,4.4960e+06,0.6800,3.4668e+05,0.0533,2.1712e+05,0.6800,1.1836e+07,0.6800,1.0789e+06,0.6800,9.8353e+04
15,0.0533,2.0053e+06,0.6833,3.8751e+04,0.0533,3.0410e+04,0.6800,2.9235e+06,0.6800,6.0307e+04,0.0600,4.9220e+04
16,0.0533,2.4662e+06,0.6833,6.2669e+04,0.2000,2.7499e+04,0.6800,3.1514e+06,0.6800,5.5610e+04,0.2000,7.0289e+04
17,0.0533,3.3220e+06,0.6800,9.7457e+04,0.0533,3.0391e+04,0.6800,3.2945e+06,0.6800,4.9733e+04,0.2000,6.9395e+04
18,0.0533,1.9392e+06,0.6800,1.1729e+06,0.0533,2.8248e+05,0.6800,1.2629e+07,0.6800,4.4967e+05,0.0500,4.8540e+04
19,0.0533,1.4121e+06,0.6800,8.1116e+05,0.0533,3.0459e+05,0.6800,1.2383e+07,0.6800,5.8323e+05,0.0500,7.4814e+04
20,0.0533,1.2291e+06,0.6800,8.2583e+05,0.0533,3.2231e+05,0.6800,1.2202e+07,0.6800,4.5358e+05,0.0533,8.4523e+04
